step,levelId,codeST,secondarySentries,maxJump,jumpToNext
173,6950,49849357,4,44,44
174,6994,55924399,5,49,34
175,7028,34414145,5,45,37
176,7065,54545235,4,40,34
177,7099,68855484,5,42,39
178,7138,73755966,3,38,38
179,7176,79464047,4,40,32
180,7208,89545373,5,44,44
181,7252,35587498,4,34,31
182,7283,50642060,3,36,30
183,7313,95725596,5,39,38
184,7351,57831721,5,43,43
185,7394,25299151,5,48,40
186,7434,95206505,5,42,25
187,7459,59939865,5,49,47
188,7506,77668199,4,47,38
189,7544,67688080,5,47,40
190,7584,53181807,5,50,44
191,7628,47186097,5,44,42
192,7670,61497846,5,48,48
193,7718,06411196,5,46,41
194,7759,86679395,4,46,39
195,7798,33134058,5,43,42
196,7840,47912712,3,42,34
197,7874,18270997,5,49,47
198,7921,54948979,4,46,45
199,7966,57932967,4,36,24
200,7990,62770967,5,42,42
201,8032,74914546,5,51,40
202,8072,25426675,4,45,45
203,8117,38125749,4,43,42
204,8159,86155922,5,49,42
205,8201,42590076,5,45,44
206,8245,52916889,2,32,32
207,8277,39406685,5,49,34
208,8311,46531909,5,49,41
209,8352,43969515,5,45,40
210,8392,79207767,5,48,44
211,8436,85515989,5,42,41
212,8477,81897615,4,41,29
213,8506,66275785,4,47,47
214,8553,56803706,5,39,29
215,8582,66763762,5,48,48
216,8630,99177557,5,45,35
217,8665,54747861,5,41,36
218,8701,18217898,4,47,24
219,8725,55856558,5,47,47
220,8772,74382766,5,35,32
221,8804,85778467,5,51,51
222,8855,70465378,5,47,37
223,8892,95494845,5,43,43
224,8935,95595679,4,40,38
225,8973,47268294,5,44,42
226,9015,54988683,5,47,42
227,9057,59346986,5,43,37
228,9094,14504468,5,39,38
229,9132,67667429,5,50,44
230,9176,94772447,5,45,41
231,9217,07445048,5,44,44
232,9261,54641758,5,45,34
233,9295,53244548,3,46,41
234,9336,76883997,3,41,37
235,9373,86790908,5,41,28
236,9401,40775852,5,47,43
237,9444,68954086,5,45,45
238,9489,50652180,5,46,35
239,9524,91520448,4,45,42
240,9566,73846978,5,47,44
241,9610,77958477,5,41,40
242,9650,34847588,5,51,35
243,9685,68659747,4,38,33
244,9718,67884823,5,40,39
245,9757,57556975,5,51,34
246,9791,06938566,4,46,43
247,9834,95584477,5,47,45
248,9879,29495753,5,45,40
249,9919,18552649,5,44,38
250,9957,66886890,3,43,42
251,9999,84981644,7,45,
