step,levelId,codeST,secondarySentries,maxJump,jumpToNext
197,5019,94898563,3,46,46
198,5065,60607968,2,39,29
199,5094,34464092,3,46,37
200,5131,87555409,5,47,47
201,5178,84754655,0,20,17
202,5195,87533758,5,51,44
203,5239,61127742,1,29,26
204,5265,28853294,4,44,40
205,5305,95882758,5,48,40
206,5345,35269917,1,36,33
207,5378,45875694,4,46,40
208,5418,37840577,3,35,33
209,5451,28508107,5,44,37
210,5488,42873468,1,35,29
211,5517,54987710,5,46,46
212,5563,29827482,1,33,32
213,5595,86026676,2,42,16
214,5611,49645798,2,36,32
215,5643,99662184,2,36,27
216,5670,40153207,1,40,35
217,5705,48549587,4,48,45
218,5750,56653967,4,48,45
219,5795,67407467,4,39,37
220,5832,48453415,2,35,35
221,5867,54869448,3,29,29
222,5896,53542953,1,35,32
223,5928,68686506,3,32,32
224,5960,45495189,1,20,13
225,5973,33662746,4,45,23
226,5996,07905689,1,32,24
227,6020,05473477,5,49,46
228,6066,78107582,2,41,34
229,6100,27476234,2,39,33
230,6133,68750897,3,36,35
231,6168,18655177,5,46,45
232,6213,64574687,2,29,28
233,6241,44469507,0,32,31
234,6272,22499906,3,35,29
235,6301,51664832,2,30,28
236,6329,43431745,3,39,39
237,6368,59546368,4,40,31
238,6399,46174746,3,38,36
239,6435,92454785,2,35,32
240,6467,61974189,1,31,11
241,6478,55047985,0,26,26
242,6504,95311904,2,29,23
243,6527,56662739,0,22,22
244,6549,40192351,2,42,32
245,6581,06970996,2,34,27
246,6608,84584951,1,28,24
247,6632,69755629,5,45,41
248,6673,95992154,4,43,42
249,6715,70954775,3,34,32
250,6747,97887316,3,45,32
251,6779,98605508,3,40,39
252,6818,79914628,3,28,10
253,6828,34867274,4,44,43
254,6871,43453369,3,35,34
255,6905,74708546,1,26,26
256,6931,96444638,4,32,26
257,6957,99861772,2,38,35
258,6992,44893968,0,20,20
259,7012,85894255,1,34,29
260,7041,56495667,1,37,35
261,7076,86888633,4,35,33
262,7109,24962422,3,30,30
263,7139,55634844,1,23,18
264,7157,77472612,3,39,39
265,7196,48400274,5,39,38
266,7234,49845083,4,38,38
267,7272,82356895,1,35,32
268,7304,77910990,3,32,25
269,7329,55505705,3,31,27
270,7356,10876687,1,35,35
271,7391,57735984,2,36,21
272,7412,49624689,4,39,34
273,7446,40886834,4,36,31
274,7477,73064651,1,33,25
275,7502,63893135,1,40,39
276,7541,81958175,4,38,29
277,7570,95002268,2,29,27
278,7597,40889894,1,26,16
279,7613,66536872,3,43,33
280,7646,54692451,1,19,17
281,7663,95743894,2,28,23
282,7686,48639668,4,34,24
283,7710,90074665,4,43,35
284,7745,77870525,5,46,43
285,7788,95991709,1,24,24
286,7812,77181455,2,33,28
287,7840,47912712,3,42,42
288,7882,38239018,5,47,42
289,7924,50379880,2,36,33
290,7957,30615578,1,30,30
291,7987,24115464,1,37,25
292,8012,17789834,2,41,29
293,8041,68943363,2,35,22
294,8063,67712951,2,32,31
295,8094,35153640,4,40,35
296,8129,54761968,2,37,37
297,8166,74625751,2,32,28
298,8194,37732977,2,32,16
299,8210,19955524,2,38,38
300,8248,61416095,5,51,46
301,8294,37464760,4,49,47
302,8341,72086977,2,34,29
303,8370,57697469,2,32,29
304,8399,18148006,4,41,33
305,8432,04541192,3,40,38
306,8470,49319548,4,34,34
307,8504,99487894,4,33,28
308,8532,30069387,2,33,31
309,8563,47368734,4,44,34
310,8597,77798447,2,37,33
311,8630,99177557,5,45,39
312,8669,34675085,4,40,32
313,8701,18217898,4,47,38
314,8739,87315307,3,31,24
315,8763,66766664,2,40,38
316,8801,66460361,2,43,43
317,8844,98764975,3,38,37
318,8881,03067735,3,44,43
319,8924,18744997,4,39,36
320,8960,64035278,3,47,42
321,9002,61099295,4,42,32
322,9034,88695098,4,43,43
323,9077,14613130,3,43,40
324,9117,55646625,3,36,36
325,9153,61845690,5,43,41
326,9194,66983343,3,37,28
327,9222,88577590,5,45,45
328,9267,86971291,3,35,28
329,9295,53244548,3,46,41
330,9336,76883997,3,41,37
331,9373,86790908,5,41,30
332,9403,74578936,4,35,35
333,9438,77895408,3,45,43
334,9481,60290439,5,39,39
335,9520,39734876,3,39,34
336,9554,67195541,4,42,40
337,9594,12858626,3,39,39
338,9633,22355826,3,38,37
339,9670,66866728,5,41,40
340,9710,74846146,4,36,33
341,9743,91066965,3,34,22
342,9765,96529618,3,32,26
343,9791,06938566,4,46,43
344,9834,95584477,5,47,45
345,9879,29495753,5,45,44
346,9923,55242264,4,49,34
347,9957,66886890,3,43,42
348,9999,84981644,7,45,
